date,time,view,car,motorcycle,large_vehicle
13/2/2023,11:34:40,View_from_Second_Link_at_Tuas.,0,0,1
13/2/2023,11:34:40,View_from_Tuas_Checkpoint.,14,0,3
13/2/2023,11:34:40,View_from_Woodlands_Causeway_Towards_Johor.,24,0,6
13/2/2023,11:34:40,View_from_Woodlands_Checkpoint_Towards_BKE.,9,0,7
2023-02-14,17:57:48,View_from_Second_Link_at_Tuas.,6,0,2
2023-02-14,17:57:48,View_from_Tuas_Checkpoint.,14,0,4
2023-02-14,17:57:48,View_from_Woodlands_Causeway_Towards_Johor.,2,0,2
2023-02-14,17:57:48,View_from_Woodlands_Checkpoint_Towards_BKE.,17,0,5
2023-02-14,18:23:18,View_from_Second_Link_at_Tuas,10,0,3
2023-02-14,18:23:18,View_from_Tuas_Checkpoint,9,0,6
2023-02-14,18:23:18,View_from_Woodlands_Causeway_Towards_Johor,1,0,2
2023-02-14,18:23:18,View_from_Woodlands_Checkpoint_Towards_BKE,6,0,1
2023-02-14,14:05:30,View_from_Second_Link_at_Tuas,0,0,0
2023-02-14,14:05:30,View_from_Tuas_Checkpoint,0,0,0
2023-02-14,14:05:30,View_from_Woodlands_Causeway_Towards_Johor,1,0,0
2023-02-14,14:05:30,View_from_Woodlands_Checkpoint_Towards_BKE,1,0,0
2023-02-14,14:22:40,View_from_Second_Link_at_Tuas,0,0,0
2023-02-14,14:22:40,View_from_Tuas_Checkpoint,1,0,0
2023-02-14,14:22:40,View_from_Woodlands_Causeway_Towards_Johor,1,0,0
2023-02-14,14:22:40,View_from_Woodlands_Checkpoint_Towards_BKE,5,0,0
